outcome,n_treated,n_control,mean_treated,mean_control,t_statistic,p_value,cohens_d,english_cefr
productivity_index,104,111,127.98149159589032,110.3764339264848,9.2980112771147,2.011410410058258e-17,1.272587548338252,A2
productivity_index,267,242,132.22829330520588,111.43580764086124,16.89990284372213,3.934877148796146e-51,1.4896563730659205,B1
productivity_index,340,200,138.93873795710914,110.81412077202293,23.18845600733548,1.1052006878304806e-80,1.9571532377155971,B2
productivity_index,178,58,143.60540131862825,111.46324445183981,15.944338441681495,1.9082802429190707e-33,1.9987023433142084,C1
