term,estimate,std_error,t_value,p_value
const,10.533731675037718,0.03570919987918184,294.9864939757105,0.0
firm_type_Local SME,-0.012881797598457187,0.023501075329238855,-0.5481365179247906,0.5836804415271328
firm_type_MNC subsidiary,-0.0461792583826838,0.027691417869861533,-1.6676379158231494,0.09559818306200113
firm_type_Outsourcing,-0.013274543117980375,0.024087719890178994,-0.5510917255141551,0.5816535869859762
region_Dhaka,0.19004814405218773,0.01889974973216043,10.055590510216948,4.6457277763340866e-23
region_Khulna,-0.2249587527264178,0.028270348734087913,-7.957409894104571,3.4546648392817508e-15
region_Rajshahi,-0.16994717961683042,0.0318268307550302,-5.339745604107014,1.0752822222899914e-07
region_Sylhet,-0.021734123041527303,0.026906924209142997,-0.8077520445143272,0.4193625288402568
"university_tier_T1 (BUET, DU, IUT)",0.05448028918799552,0.025709588137530395,2.119065031168904,0.03425034523464515
"university_tier_T2 (KUET, RUET, SUST)",0.05226582221168735,0.025360023037206806,2.0609532623454587,0.03948105396488592
university_tier_T3 (Private),0.04156677401570208,0.02419697339644091,1.7178501350014321,0.08603214127047726
experience_years,0.05870068808737297,0.001973432069202616,29.745481997306115,5.9273688919783e-153
genai_adopted,0.07216345861616201,0.013845531555785507,5.212039590203218,2.1302468804404926e-07
